Country Name,Country Code,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Latin America & Caribbean (excluding high income),LAC,545661592,551075145,556440282,561957179,567711159,573311679,578091505,581884231,585648822,589889543,594158638
Lao PDR,LAO,6703172,6801645,6908802,7018147,7128045,7237636,7346533,7453194,7559007,7664993,7769819
Lebanon,LBN,6346990,6472469,6323060,6160128,5984119,5794594,5702398,5718122,5744489,5773493,5805962
Liberia,LBR,4564293,4659431,4755608,4848925,4944726,5043721,5149463,5259323,5373294,5493031,5612817
Libya,LBY,6427252,6531819,6632126,6738770,6849055,6951033,7045399,7135175,7223805,7305659,7381023
St. Lucia,LCA,174138,174905,175646,176342,177017,177661,178250,178522,178781,179285,179744
Latin America & Caribbean,LCN,612849401,618868462,624737786,630414986,635778081,640962372,645497651,649234493,653104795,657617663,662185950
Least developed countries: UN classification,LDC,940284138,962508256,985414939,1008993468,1033110314,1058013514,1083636132,1109175268,1134585604,1160824674,1187777591
Low income,LIC,476470767,488308267,501149314,514890519,529522043,544980983,560643073,576076618,591481496,607774703,624608098
Liechtenstein,LIE,37248,37494,37716,37962,38246,38563,38901,39182,39493,39850,40197
Sri Lanka,LKA,20778000,20970000,21209000,21453000,21670000,21803000,21919000,22156000,22181000,22037000,21916000
Lower middle income,LMC,2723061855,2765011526,2806590212,2847931114,2888561818,2928617292,2968398856,3006243027,3043358377,3082002881,3120983658
Low & middle income,LMY,5865317415,5941372154,6017298320,6094196886,6169917356,6243849229,6314223170,6378645843,6438272260,6499219471,6563719861
Lesotho,LSO,2080089,2104611,2130422,2157110,2183603,2209405,2235727,2261542,2286110,2311472,2337423
Late-demographic dividend,LTE,2241237489,2256276122,2271028438,2286095306,2298652685,2309164437,2316461820,2320449542,2324125644,2326636900,2328890789
Lithuania,LTU,2937253,2911109,2877325,2842639,2819200,2811089,2810369,2808380,2831639,2871585,2888055
Luxembourg,LUX,556319,569604,582014,596336,607950,620001,630419,640064,653103,666430,677717
Latvia,LVA,1993782,1977527,1959537,1942248,1927174,1913822,1900449,1884490,1879383,1877445,1862441
"Macao SAR, China",MAC,621700,642900,652500,648400,658900,672000,685400,682500,677300,678800,687000
St. Martin (French part),MAF,37450,37369,37175,36837,36012,34267,31786,29961,28870,27515,26129
Morocco,MAR,34204780,34607588,35023457,35446392,35839760,36210898,36584208,36954442,37329064,37712505,38081173
Monaco,MCO,36128,36757,37276,37678,38154,38109,38050,38527,38931,38956,38631
Moldova,MDA,2857815,2835978,2803186,2755189,2707203,2664224,2635130,2595809,2528654,2457783,2389275
Madagascar,MDG,24764348,25426702,26099952,26788375,27494926,28219554,28953556,29691083,30437261,31195932,31964956
Maldives,MDV,413617,428154,443308,458287,473099,487731,502118,516154,524106,525994,527799
"Middle East, North Africa, Afghanistan & Pakistan",MEA,680716578,694232973,707023525,718887744,730362334,742714463,756405281,767578451,782349366,797801454,813118814
Mexico,MEX,119784261,121072306,122251351,123400057,124573711,125762982,126799054,127648148,128613117,129739759,130861007
Marshall Islands,MHL,49796,48800,47709,46529,45285,44007,42706,41367,40077,38827,37548
Middle income,MIC,5388846648,5453063887,5516149006,5579306367,5640395313,5698868246,5753580097,5802569225,5846790764,5891444768,5939111763
North Macedonia,MKD,1917557,1912430,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1827816,1792179
Mali,MLI,18020267,18593022,19191289,19813011,20442030,21068405,21713836,22388630,23072640,23769127,24478595
